Timestamp,Customer_ID,Age Group,Gender,Education Level,Income Level,I prefer organic products due to their health benefits.,Organic products have better nutritional value than non-organic.,I believe organic products are healthier for my family.,I regularly purchase organic food for a healthier lifestyle.,I am willing to pay a premium price for organic products.,I actively seek out organic labels while shopping.,Buying organic products is a responsible choice.,Organic farming practices benefit the environment.,I believe organic farming is more sustainable.,Reducing chemical use in agriculture is important to me.,I avoid products that contain synthetic additives.,I am concerned about the negative impact of non-organic farming.,I check product certifications to ensure they are organic.,I am more likely to purchase organic food if it is easily available.,I would recommend organic products to friends and family.
03/13/2025 14:34:00,18,Above 55 Years,Female,Higher Secondary (10+2),Above 10 Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:36:00,19, 18-25 Years,Female,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 14:38:00,20,Above 55 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:40:00,21,26-35 Years,Female,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:42:00,22,Above 55 Years,Male,Undergraduate,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:44:00,23,46-55 Years,Female,Undergraduate,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 14:46:00,24,26-35 Years,Female,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 14:48:00,25,46-55 Years,Female,Higher Secondary (10+2),Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 14:50:00,26,Above 55 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 14:52:00,27,36-45 Years,Female,Undergraduate,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 14:54:00,28, 18-25 Years,Female,Undergraduate,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 14:56:00,29,26-35 Years,Female,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 14:58:00,30,46-55 Years,Female,Below Secondary (Below 10th),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:00:00,31,36-45 Years,Male,Secondary School (10th),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:02:00,32,36-45 Years,Male,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 15:04:00,33,26-35 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:06:00,34,26-35 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:08:00,35,36-45 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 15:10:00,36, 18-25 Years,Male,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:12:00,37, 18-25 Years,Female,Secondary School (10th),Above 10 Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:14:00,38,46-55 Years,Male,Below Secondary (Below 10th),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:16:00,39, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:18:00,40,36-45 Years,Male,Undergraduate,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:20:00,41,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:22:00,42,Above 55 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:24:00,43,36-45 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:26:00,44, 18-25 Years,Female,Below Secondary (Below 10th),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 15:28:00,45,46-55 Years,Female,Undergraduate,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 15:30:00,46,Above 55 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:32:00,47, 18-25 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:34:00,48,46-55 Years,Male,Undergraduate,Above 10 Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:36:00,49, 18-25 Years,Female,Higher Secondary (10+2),Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 15:38:00,50,Above 55 Years,Female,Secondary School (10th),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 15:40:00,51,36-45 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:42:00,52,Above 55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:44:00,53,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:46:00,54,Above 55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 15:48:00,55,26-35 Years,Male,Undergraduate,5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:50:00,56, 18-25 Years,Female,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:52:00,57, 18-25 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 15:54:00,58,26-35 Years,Male,Secondary School (10th),2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 15:56:00,59,36-45 Years,Male,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 15:58:00,60, 18-25 Years,Male,Below Secondary (Below 10th),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:00:00,61,26-35 Years,Male,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:02:00,62, 18-25 Years,Male,Undergraduate,2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:04:00,63,46-55 Years,Male,Postgraduate & Above,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:06:00,64,36-45 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:08:00,65,46-55 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:10:00,66,36-45 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:12:00,67,26-35 Years,Female,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 16:14:00,68,36-45 Years,Male,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 16:16:00,69,36-45 Years,Female,Undergraduate,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:18:00,70,26-35 Years,Female,Undergraduate,0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:20:00,71,36-45 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:22:00,72, 18-25 Years,Female,Undergraduate,5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:24:00,73,Above 55 Years,Male,Undergraduate,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 16:26:00,74,26-35 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 16:28:00,75,Above 55 Years,Male,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:30:00,76,26-35 Years,Female,Below Secondary (Below 10th),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:32:00,77,26-35 Years,Female,Secondary School (10th),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 16:34:00,78,46-55 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:36:00,79,46-55 Years,Male,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:38:00,80,36-45 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:40:00,81,Above 55 Years,Male,Higher Secondary (10+2),Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 16:42:00,82,26-35 Years,Female,Below Secondary (Below 10th),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 16:44:00,83,36-45 Years,Male,Postgraduate & Above,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:46:00,84, 18-25 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 16:48:00,85,26-35 Years,Male,Below Secondary (Below 10th),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:50:00,86, 18-25 Years,Male,Undergraduate,2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:52:00,87,36-45 Years,Female,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:54:00,88,46-55 Years,Male,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 16:56:00,89,36-45 Years,Female,Undergraduate,Above 10 Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 16:58:00,90, 18-25 Years,Female,Secondary School (10th),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:00:00,91,26-35 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:02:00,92,Above 55 Years,Female,Undergraduate,2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:04:00,93,36-45 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:06:00,94,26-35 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:08:00,95,46-55 Years,Female,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:10:00,96,46-55 Years,Female,Below Secondary (Below 10th),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:12:00,97,46-55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:14:00,98,26-35 Years,Female,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:16:00,99,36-45 Years,Female,Undergraduate,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:18:00,100,26-35 Years,Male,Undergraduate,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:20:00,101,26-35 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 17:22:00,102,Above 55 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:24:00,103,Above 55 Years,Female,Undergraduate,5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:26:00,104,36-45 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
